record_date,power_consumption,dow,doy,day,month,year,season,1_m_mean,2_m_mean,1_m_std,2_m_std
2015-03-01,2900464,6,60,1,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-02,3334082,0,61,2,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-03,3492606,1,62,3,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-04,3597890,2,63,4,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-05,1798044,3,64,5,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-06,1787992,4,65,6,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-07,3559113,5,66,7,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-08,2972454,6,67,8,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-09,3772564,0,68,9,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-10,3868938,1,69,10,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-11,3881363,2,70,11,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-12,3935078,3,71,12,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-13,3845654,4,72,13,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-14,3940997,5,73,14,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-15,3710792,6,74,15,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-16,3736062,0,75,16,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-17,3862429,1,76,17,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-18,3809448,2,77,18,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-19,3294148,3,78,19,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-20,2659507,4,79,20,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-21,3097831,5,80,21,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-22,3153864,6,81,22,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-23,3793539,0,82,23,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-24,3886598,1,83,24,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-25,3946979,2,84,25,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-26,3978091,3,85,26,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-27,3505012,4,86,27,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-28,3641733,5,87,28,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-29,3489199,6,88,29,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-30,3792338,0,89,30,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-03-31,3799367,1,90,31,3,2015,2,2795136.0,3961383.0,769724.21873,303629.486621
2015-04-01,3878931,2,91,1,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-02,3895444,3,92,2,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-03,3917458,4,93,3,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-04,3701865,5,94,4,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-05,3077103,6,95,5,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-06,3396784,0,96,6,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-07,3955773,1,97,7,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-08,3933520,2,98,8,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-09,3934117,3,99,9,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-10,3841726,4,100,10,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-11,3757337,5,101,11,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-12,3471838,6,102,12,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-13,3794991,0,103,13,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-14,3886747,1,104,14,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-15,3883621,2,105,15,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-16,3858169,3,106,16,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-17,3720202,4,107,17,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-18,3618044,5,108,18,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-19,3592847,6,109,19,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-20,3694081,0,110,20,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-21,3785960,1,111,21,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-22,3822967,2,112,22,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-23,3907020,3,113,23,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-24,3854392,4,114,24,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-25,3801188,5,115,25,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-26,3606876,6,116,26,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-27,3827721,0,117,27,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-28,3921793,1,118,28,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-29,3903749,2,119,29,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-04-30,3807190,3,120,30,4,2015,2,3478844.0,2795136.0,564746.94043,769724.21873
2015-05-01,2893128,4,121,1,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-02,2988003,5,122,2,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-03,3501631,6,123,3,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-04,3785149,0,124,4,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-05,3908821,1,125,5,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-06,3920908,2,126,6,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-07,3900211,3,127,7,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-08,3893473,4,128,8,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-09,3756578,5,129,9,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-10,3488394,6,130,10,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-11,3768083,0,131,11,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-12,3833756,1,132,12,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-13,3944756,2,133,13,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-14,4113033,3,134,14,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-15,3925658,4,135,15,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-16,3753444,5,136,16,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-17,3545599,6,137,17,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-18,3747294,0,138,18,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-19,3901643,1,139,19,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-20,3878744,2,140,20,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-21,3834144,3,141,21,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-22,3873964,4,142,22,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-23,3857605,5,143,23,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-24,3658025,6,144,24,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-25,3894369,0,145,25,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-26,3932831,1,146,26,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-27,3943848,2,147,27,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-28,3980124,3,148,28,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-29,3919808,4,149,29,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-30,3660404,5,150,30,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-05-31,3409681,6,151,31,5,2015,3,3768315.0,3478844.0,190781.409186,564746.94043
2015-06-01,3678089,0,152,1,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-02,3765956,1,153,2,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-03,3715689,2,154,3,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-04,3717902,3,155,4,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-05,3712017,4,156,5,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-06,3748581,5,157,6,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-07,3505473,6,158,7,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-08,3804096,0,159,8,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-09,3931900,1,160,9,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-10,4026655,2,161,10,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-11,4029529,3,162,11,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-12,4045499,4,163,12,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-13,3981977,5,164,13,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-14,3786307,6,165,14,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-15,4025300,0,166,15,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-16,3880740,1,167,16,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-17,3732340,2,168,17,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-18,3780395,3,169,18,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-19,3900360,4,170,19,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-20,3292730,5,171,20,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-21,3416254,6,172,21,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
2015-06-22,3724890,0,173,22,6,2015,3,3755261.0,3768315.0,269088.249264,190781.409186
